Date,Open,High,Low,Close,Volume,Change Pct
2005-12-29,33580.0,33800.0,33580.0,33711.0,0,0.46
2006-01-02,33780.0,33960.0,33270.0,33899.0,3833,0.56
2006-01-03,34150.0,35120.0,34120.0,35059.0,5414,3.42
2006-01-04,35150.0,35750.0,35120.0,35372.0,5658,0.89
2006-01-05,35400.0,35570.0,35170.0,35385.0,4988,0.04
2006-01-06,35470.0,35970.0,35440.0,35778.0,4853,1.11
2006-01-09,35850.0,35980.0,35480.0,35602.0,6318,-0.49
2006-01-10,35400.0,35480.0,35030.0,35376.0,8308,-0.63
2006-01-11,35600.0,36340.0,35550.0,36272.0,6332,2.53
2006-01-12,36250.0,36640.0,35970.0,36046.0,6704,-0.62
2006-01-13,36000.0,36295.0,35780.0,36098.0,4602,0.14
2006-01-16,36200.0,36890.0,36200.0,36787.0,3657,1.91
2006-01-17,36640.0,36705.0,36070.0,36345.0,5538,-1.2
2006-01-18,35700.0,36200.0,35610.0,36132.0,8885,-0.59
2006-01-19,36400.0,37240.0,36400.0,37086.0,6915,2.64
2006-01-20,37000.0,37180.0,36610.0,36884.0,7398,-0.54
2006-01-23,36850.0,36910.0,36390.0,36775.0,6722,-0.3
2006-01-24,37100.0,37600.0,37100.0,37557.0,0,2.13
2006-01-26,37655.0,38230.0,37620.0,38190.0,6161,1.69
2006-01-27,38600.0,38900.0,37800.0,38034.0,4850,-0.41
2006-01-30,37800.0,38450.0,37600.0,38399.0,6616,0.96
2006-01-31,38250.0,38530.0,37700.0,38091.0,6687,-0.8
2006-02-01,38150.0,38600.0,37950.0,38395.0,4432,0.8
2006-02-02,38570.0,38610.0,37270.0,37320.0,6388,-2.8
2006-02-03,37500.0,37690.0,36540.0,37296.0,7025,-0.06
2006-02-06,37600.0,37890.0,37270.0,37340.0,5693,0.12
2006-02-07,37300.0,37490.0,36600.0,36738.0,6022,-1.61
2006-02-08,36650.0,36870.0,36280.0,36497.0,5722,-0.66
2006-02-09,36800.0,37250.0,36590.0,36884.0,6522,1.06
2006-02-10,37300.0,37840.0,36600.0,37049.0,6747,0.45
2006-02-13,36960.0,37120.0,36200.0,36347.0,4586,-1.89
2006-02-14,36450.0,36820.0,35860.0,36731.0,6399,1.06
2006-02-15,36500.0,37320.0,36400.0,37236.0,0,1.37
2006-02-16,38180.0,39030.0,38070.0,38858.0,5022,4.36
2006-02-17,38900.0,39380.0,38900.0,39109.0,3414,0.65
2006-02-20,39200.0,39370.0,38700.0,39340.0,2785,0.59
2006-02-21,39465.0,39640.0,38750.0,38819.0,5059,-1.32
2006-02-22,38740.0,39305.0,38600.0,38780.0,5533,-0.1
2006-02-23,38850.0,39170.0,38330.0,38931.0,5390,0.39
2006-02-24,39000.0,39250.0,38810.0,39211.0,2336,0.72
2006-03-01,39270.0,39870.0,39140.0,39823.0,2049,1.56
2006-03-02,39850.0,40100.0,39570.0,39799.0,5081,-0.06
2006-03-03,39700.0,39970.0,39250.0,39822.0,4279,0.06
2006-03-06,39750.0,39830.0,38760.0,38899.0,5664,-2.32
2006-03-07,38500.0,38560.0,37660.0,37865.0,7548,-2.66
2006-03-08,37650.0,37925.0,36860.0,37800.0,6901,-0.17
2006-03-09,38000.0,38150.0,36470.0,36575.0,5866,-3.24
2006-03-10,36840.0,37640.0,36700.0,37316.0,5316,2.03
2006-03-13,37450.0,37700.0,36840.0,37170.0,6225,-0.39
2006-03-14,36750.0,38050.0,36735.0,37916.0,6579,2.01
2006-03-15,38000.0,38785.0,37780.0,38695.0,6609,2.05
2006-03-16,38540.0,39030.0,38380.0,38527.0,7952,-0.43
2006-03-17,38440.0,38750.0,38110.0,38251.0,5899,-0.72
2006-03-20,38650.0,38900.0,38250.0,38449.0,7328,0.52
2006-03-21,38400.0,38570.0,37600.0,37680.0,8906,-2.0
2006-03-22,37600.0,38165.0,37540.0,38077.0,7186,1.05
